Name,Identifier,Weight,Sector,Shares Held
Viacom Inc. Class B,VIAB,0.042283,Consumer Discretionary,3894333
Snap-on Incorporated,SNA,0.042161,Industrials,626358
International Flavors & Fragrances Inc.,IFF,0.041981,Materials,871069
Duke Realty Corporation,DRE,0.041703,Real Estate,3939204
Iron Mountain Inc.,IRM,0.041603,Real Estate,3091153
Alliant Energy Corp,LNT,0.041566,Utilities,2553941
Varian Medical Systems Inc.,VAR,0.041442,Health Care,1024135
Perrigo Co. Plc,PRGO,0.040823,Health Care,1447548
Invesco Ltd.,IVZ,0.04073,Financials,4531972
Cabot Oil & Gas Corporation,COG,0.040505,Energy,4982129
Franklin Resources Inc.,BEN,0.040358,Financials,3594213
Regency Centers Corporation,REG,0.040046,Real Estate,1626057
Torchmark Corporation,TMK,0.039846,Financials,1211833
Juniper Networks Inc.,JNPR,0.039598,Information Technology,3852447
Robert Half International Inc.,RHI,0.039382,Industrials,1408872
Federal Realty Investment Trust,FRT,0.039343,Real Estate,807882
DaVita Inc.,DVA,0.038779,Health Care,1540704
Qorvo Inc.,QRVO,0.038531,Information Technology,1382105
SL Green Realty Corp.,SLG,0.037937,Real Estate,992796
NiSource Inc,NI,0.037875,Utilities,3687509
Arconic Inc.,ARNC,0.037507,Industrials,4611233
Avery Dennison Corporation,AVY,0.037489,Materials,961001
Pinnacle West Capital Corporation,PNW,0.036749,Utilities,1234868
DENTSPLY SIRONA Inc.,XRAY,0.036528,Health Care,2530615
Everest Re Group Ltd.,RE,0.036294,Financials,445984
Interpublic Group of Companies Inc.,IPG,0.036271,Consumer Discretionary,4325100
Jacobs Engineering Group Inc.,JEC,0.036088,Industrials,1317076
AES Corporation,AES,0.03596,Utilities,7297327
BorgWarner Inc.,BWA,0.035698,Consumer Discretionary,2177998
Western Union Company,WU,0.035646,Information Technology,5066556
Nielsen Holdings Plc,NLSN,0.035603,Industrials,3694514
FLIR Systems Inc.,FLIR,0.035417,Information Technology,1513827
Discovery Inc. Class C,DISCK,0.035276,Consumer Discretionary,3738378
A. O. Smith Corporation,AOS,0.034377,Industrials,1597830
Allegion PLC,ALLE,0.034082,Industrials,1032804
Unum Group,UNM,0.034066,Financials,2504208
Alaska Air Group Inc.,ALK,0.033838,Industrials,1360256
